company_id,sales_growth_pct,profit_growth_pct,sales_cagr_pct,growth_score
ZOMATO,48.35727257718342,88.88888888888889,0.0,54.89846458642893
VEDL,0.5016454806682112,110.12070566388115,0.0,44.24894045781975
LODHA,31.582008530438156,61.58301158301158,0.0,37.2660080453799
ADANIENT,6.108627788552287,82.4887556221889,0.0,35.438953364296474
ADANIGREEN,16.941431670281997,53.01587301587302,0.0,27.982921874462008
BHEL,8.119532917590925,57.801418439716315,0.0,26.368380542922896
PNB,6.4741209370558845,58.73102544501474,0.0,26.08205855282825
BHARTIARTL,3.6644397327679323,61.43958868894601,0.0,26.04161136868558
TECHM,0.9231479344564966,57.488527325823945,0.0,23.36467010411218
DLF,8.93107203983196,46.98972099853157,0.0,22.368317215345414
SIEMENS,13.736319934540248,38.53211009174312,4.89,21.88537201051335
MOTHERSON,10.831678352855349,36.52317880794702,0.0,18.94194286432095
ICICIGI,13.735539610484699,31.214174048983846,0.0,17.97988546378742
TRENT,21.41414141414141,22.47799593771158,0.0,17.556854940741196
VBL,18.350682540671944,22.835394862036157,0.0,16.474430961083243
APOLLOHOSP,7.398079647410673,30.909090909090907,0.0,15.322868222600633
KOTAKBANK,13.898323168021054,23.702849612913855,0.0,15.040469112373964
SHRIRAMFIN,9.552599758162032,27.774023516691443,0.0,14.93064930994139
CHOLAFIN,17.424202890987843,12.631578947368421,0.0,12.022312735342506
TVSMOTOR,9.556776088900243,17.706576728499158,0.0,10.905341126959762
ICICIBANK,13.186764964016149,13.747531520583319,0.0,10.773718593839789
HINDALCO,3.730285883627675,22.97390448055145,0.0,10.68167614567165
HDFCBANK,15.99617837538648,10.271063166580081,0.0,10.506896616786625
SBILIFE,-1.4508894748007395,27.29672650475185,0.0,10.338334811980445
UNIONBANK,6.656969793576153,18.460534898891062,0.0,10.047001876986887
CIPLA,4.683013889966633,20.05296100144439,0.0,9.89438995656441
DIVISLAB,9.802421924792862,14.75,0.0,9.820968769917146
ZYDUSLIFE,9.909449020310023,11.729171910395166,0.0,8.655448372282075
HAVELLS,11.226465841850457,10.149488591660111,0.0,8.550381773404228
BEL,6.448588908624433,13.952321204516938,0.0,8.16036404525655
BAJAJFINSV,14.387309525103731,5.931388265469701,0.0,8.127479116229374
DMART,12.648408119868476,7.255520504731862,0.0,7.961571449840136
BAJFINANCE,13.29222149457906,6.490900283717389,0.0,7.91324871131858
SUNPHARMA,3.73425160319195,15.681581685744018,0.0,7.766333315574387
GAIL,2.141441738973789,16.540442290215086,0.0,7.47275361167555
TORNTPHARM,5.35048471290082,12.439613526570048,0.0,7.116039295788347
PIDILITIND,4.183154324477106,12.936462507155122,0.0,6.847846732652891
HEROMOTOCO,6.110243721717961,10.44895777659006,0.0,6.623680599323208
AXISBANK,10.322851996452377,6.1341056272877195,0.0,6.582783049496039
CANBK,8.028483790117537,7.596909291604441,0.0,6.2501572326887915
JSWENERGY,-0.609437576179697,15.246376811594203,0.0,5.854775694165803
HAL,2.5443533787564596,11.547070441079658,0.0,5.636569527934448
PFC,7.260567382086812,6.753335096935112,0.0,5.60556099160877
SBIN,6.9300460621736875,7.071883582819264,0.0,5.600771857997181
HCLTECH,4.9084275745362245,8.752387014640355,0.0,5.464325835670632
RECLTD,8.361218090367657,5.231530576175327,0.0,5.437099466617195
IRCTC,4.332552693208431,8.010801080108012,0.0,4.937341509326577
LT,8.0357102477014,3.8785617804077956,0.0,4.7657088112436785
BANKBARODA,4.8699515961445865,6.7571148444538665,0.0,4.650826576239381
WIPRO,-1.0784313725490196,12.38300935925126,0.0,4.521831194680896
TCS,4.644800803676321,6.30599362242131,0.0,4.380317770439053
M&M,4.900127985734624,6.02281988590057,0.0,4.369179148654077
ABB,3.71003590357326,6.994171523730225,0.0,4.281682970921395
HDFCLIFE,-0.6996314617370568,10.99110546378653,0.0,4.11658960081979
EICHERMOT,3.356313497822932,6.67333166708323,0.0,4.011858065962465
NTPC,4.1405930498988806,5.690980686292893,0.0,3.9326294944767097
INFY,4.1114075616580985,5.482322462663822,0.0,3.837492009728768
DRREDDY,11.488343864910213,-2.3305844388669774,0.0,3.6631037704172944
ATGL,7.843575418994414,0.0,0.0,3.1374301675977656
LICI,5.926952147013,1.349105484407078,0.0,2.9104230525680315
TATAMOTORS,0.48706636707403955,6.316219700066022,0.0,2.7213144268560248
ITC,6.024045381424096,0.3758854994940003,0.0,2.5599723523672386
MARUTI,2.3650410974354634,3.9516607354685642,0.0,2.5266807331616112
JIOFIN,6.091644204851752,0.12461059190031153,0.0,2.4865019187008257
TATAPOWER,3.3198261973343746,2.8738317757009346,0.0,2.4774631892141237
HINDUNILVR,1.2359441644048081,4.6197237891460805,0.0,2.3422671814203557
RELIANCE,4.537835315630766,1.1655277145026577,0.0,2.2813452120533695
BAJAJ-AUTO,8.981502117227546,-4.372080954852102,0.0,1.8437684649501778
LTIM,4.53867162204015,-0.23991275899672848,0.0,1.7195035452173686
UNITDSPR,4.416570974295557,-0.4261363636363636,0.0,1.5961738442636775
TATACONSUM,7.174799421281073,-3.7037037037037033,0.0,1.3884382870309482
BAJAJHLDNG,1.8213866039952997,1.642905634758995,0.0,1.385716895501718
IRFC,0.9645336836179396,1.9494697442295694,0.0,1.1656013711390036
BRITANNIA,2.8326077881805714,-0.23430178069353325,0.0,1.0393224029948154
POWERGRID,-0.06762210152040661,0.8925704745392667,0.0,0.32997934920754407
ICICIPRULI,-14.101896862923141,14.45358401880141,0.0,0.14067486235130744
ADANIPORTS,0.0,0.0,0.0,0.0
TITAN,6.604807767598466,-7.236842105263158,0.0,-0.25281373506587723
INDUSINDBK,7.117251027367316,-9.251396648044691,0.0,-0.8536582482709503
NAUKRI,4.968454258675079,-7.394957983193278,0.0,-0.9706014898072794
DABUR,0.3466623669783941,-2.816123688569851,0.0,-0.9877845286365827
SHREECEM,-3.503727888504459,0.0,0.0,-1.4014911554017837
GRASIM,4.68628319259723,-12.421922224461012,0.0,-3.094255612745513
COALINDIA,-1.4024338832522976,-8.078888918622388,0.0,-3.7925291207498746
ULTRACEMCO,0.5768037456986518,-10.736721873215306,0.0,-4.0639672510066625
BOSCHLTD,2.5288455790040056,-16.305220883534137,0.0,-5.510550121812052
ONGC,11.379515586848745,-25.88571128351517,0.0,-5.802478278666571
NHPC,0.6021594684385383,-15.168818272095333,0.0,-5.826663521462718
INDIGO,10.989202368512712,-25.62752540712624,0.0,-5.855329215445411
JINDALSTEL,-0.6652897485800532,-14.857815917886589,0.0,-6.209242266586657
ADANIENSOL,33.07039200337207,-50.75250836120402,0.0,-7.072846543132782
ASIANPAINT,-1.8706860121143822,-16.678661388988843,0.0,-7.419738960441291
GODREJCP,0.39727582292849034,-19.25133689839572,0.0,-7.541624430186892
AMBUJACEM,-0.9348612786489747,-18.298860278598564,0.0,-7.693488622899016
ADANIPOWER,8.538062799149968,-39.094531662585815,0.0,-12.222587545374338
NESTLEIND,-18.889890956792655,-15.50978896516654,0.0,-13.75987196878368
BPCL,-0.553915234454331,-48.866301798279906,0.0,-19.768086813093696
JSWSTEEL,-2.703907294607042,-63.08926780341023,0.0,-26.31727003920691
IOC,-1.9149818638967893,-74.7248673571048,0.0,-30.655939688400636
TATASTEEL,-3.560223588499418,-151.4663951120163,0.0,-62.01064748020629
